#SampleID,R1.P,R10.P,R11.P,R12.P,R13.P,R14.P,R15.P,R16.P,R17.P,R18.P,R19.P,R2.P,R20.P,R21.P,R22.P,R23.P,R24.P,R25.P,R26.P,R27.P,R28.P,R29.P,R3.P,R4.P,R5.P,R6.P,R7.P,R8.P,R9.P,-99
Rabbit_ID,A.12,A.13,A.14,A.15,A.16,B.12,B.13,B.14,B.15,C.12,C.13,C.14,C.15,C.16,D.12,D.13,D.14,D.15,D.16,E.12,E.13,E.14,E.15,E.16,F.12,F.13,F.14,F.15,F.16,-99
k__Bacteria;p__Lentisphaerae,5.88235294118e-05,0.000117647058824,0.0,5.88235294118e-05,0.0,0.0,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176470588235,0.000176470588235,0.000176470588235,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
k__Bacteria;p__OP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
k__Bacteria;p__Proteobacteria,0.00135294117647,0.00723529411765,0.00376470588235,0.00305882352941,0.00505882352941,0.00364705882353,0.00494117647059,0.00476470588235,0.00688235294118,0.00323529411765,0.00747058823529,0.0168235294118,0.00217647058824,0.00664705882353,0.00294117647059,0.00211764705882,0.00347058823529,0.00376470588235,0.00123529411765,0.00294117647059,0.00376470588235,0.00929411764706,0.000941176470588,0.00111764705882,0.00535294117647,0.00935294117647,0.00617647058824,0.00135294117647,0.00194117647059,29
k__Bacteria;p__Synergistetes,0.0,0.0,0.0,0.0,5.88235294118e-05,0.000235294117647,0.000352941176471,0.000117647058824,0.000117647058824,0.0159411764706,0.000117647058824,0.0,0.00458823529412,0.000235294117647,0.000411764705882,0.000176470588235,0.000117647058824,0.000117647058824,0.000294117647059,5.88235294118e-05,0.000117647058824,5.88235294118e-05,0.0,5.88235294118e-05,5.88235294118e-05,0.000117647058824,0.0,0.000705882352941,0.000117647058824,22
k__Bacteria;p__TM7,0.000588235294118,0.0,0.000176470588235,0.000176470588235,0.000235294117647,0.000176470588235,0.000764705882353,5.88235294118e-05,0.00211764705882,0.00535294117647,0.00188235294118,0.00129411764706,0.00235294117647,0.000411764705882,0.000705882352941,0.000352941176471,0.000823529411765,0.000235294117647,0.000588235294118,0.000529411764706,0.00105882352941,0.000823529411765,0.00129411764706,0.00305882352941,0.00182352941176,0.000352941176471,0.0,0.000117647058824,0.000117647058824,27
k__Bacteria;p__Tenericutes,0.0212352941176,0.0718823529412,0.0603529411765,0.0411764705882,0.0367647058824,0.0248235294118,0.0267058823529,0.00129411764706,0.0301176470588,0.00952941176471,0.0163529411765,0.0142941176471,0.00623529411765,0.00858823529412,0.0116470588235,0.0573529411765,0.0494705882353,0.114823529412,0.0203529411765,0.0156470588235,0.0331764705882,0.0301176470588,0.00811764705882,0.0118823529412,0.0402352941176,0.0207647058824,0.0353529411765,0.0324705882353,0.0485294117647,29
k__Bacteria;p__Verrucomicrobia,0.0312352941176,0.0295882352941,0.0237647058824,0.0245882352941,0.0111176470588,0.0108235294118,0.00276470588235,0.000705882352941,0.0460588235294,0.00364705882353,0.00811764705882,0.0350588235294,0.0842941176471,0.0204705882353,0.00947058823529,0.0299411764706,0.0118235294118,0.0512352941176,0.00205882352941,0.0142941176471,0.0346470588235,0.0211764705882,0.00147058823529,0.0438235294118,0.00788235294118,0.0485294117647,0.00852941176471,0.00758823529412,0.00905882352941,29
#SampleID,R1.P,R10.P,R11.P,R12.P,R13.P,R14.P,R15.P,R16.P,R17.P,R18.P,R19.P,R2.P,R20.P,R21.P,R22.P,R23.P,R24.P,R25.P,R26.P,R27.P,R28.P,R29.P,R3.P,R4.P,R5.P,R6.P,R7.P,R8.P,R9.P,-99
Rabbit_ID,A.12,A.13,A.14,A.15,A.16,B.12,B.13,B.14,B.15,C.12,C.13,C.14,C.15,C.16,D.12,D.13,D.14,D.15,D.16,E.12,E.13,E.14,E.15,E.16,F.12,F.13,F.14,F.15,F.16,-99
hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,-99
pellet,No Pellets,No Pellets,No Pellets,No Pellets,No Pellets,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet M,Test Pellet Diet M,Test Pellet Diet M,Test Pellet Diet M,Test Pellet Diet M,-99
diet,"__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, Test Pellet Diet E__","__Free Choice Timothy Hay, Test Pellet Diet E__","__Free Choice Timothy Hay, Test Pellet Diet E__","__Free Choice Timothy Hay, Test Pellet Diet E__","__Free Choice Timothy Hay, Test Pellet Diet P__","__Free Choice Timothy Hay, Test Pellet Diet P__","__Free Choice Timothy Hay, Test Pellet Diet P__","__Free Choice Timothy Hay, Test Pellet Diet P__","__Free Choice Timothy Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet M__","__No Hay, Test Pellet Diet M__","__No Hay, Test Pellet Diet M__","__No Hay, Test Pellet Diet M__","__No Hay, Test Pellet Diet M__",-99
Unassigned;Other,0.101705882353,0.0713529411765,0.0818235294118,0.0614705882353,0.115117647059,0.0888823529412,0.110294117647,0.920823529412,0.127647058824,0.157882352941,0.208882352941,0.163411764706,0.0861764705882,0.108,0.110823529412,0.184176470588,0.0793529411765,0.0945294117647,0.107117647059,0.106058823529,0.110529411765,0.137470588235,0.694235294118,0.226647058824,0.399411764706,0.0802352941176,0.0592941176471,0.0725882352941,0.0828235294118,29
k__Bacteria;Other,0.000117647058824,0.0,0.0,0.0,5.88235294118e-05,0.000117647058824,0.000117647058824,0.0,0.0,0.000117647058824,0.000117647058824,0.0,0.000470588235294,0.000176470588235,0.0,0.000529411764706,0.0,0.0,0.000176470588235,0.0,5.88235294118e-05,5.88235294118e-05,0.0,0.000176470588235,0.000235294117647,0.0,5.88235294118e-05,5.88235294118e-05,0.0,16
k__Bacteria;p__Actinobacteria,0.00782352941176,0.000117647058824,0.000764705882353,0.00264705882353,0.000588235294118,0.000529411764706,0.00282352941176,0.000235294117647,0.00176470588235,0.00311764705882,0.00288235294118,0.0124117647059,0.005,0.00252941176471,0.00217647058824,0.00576470588235,0.00141176470588,0.00170588235294,0.00164705882353,0.00211764705882,0.00152941176471,0.00205882352941,0.00611764705882,0.0612941176471,0.00170588235294,0.000823529411765,0.00841176470588,0.003,0.000294117647059,29
k__Bacteria;p__Bacteroidetes,0.317294117647,0.181882352941,0.145823529412,0.137823529412,0.355,0.347764705882,0.163882352941,0.00982352941176,0.275058823529,0.261647058824,0.341705882353,0.265176470588,0.384529411765,0.361705882353,0.455705882353,0.134647058824,0.473823529412,0.364294117647,0.398470588235,0.269117647059,0.339,0.195294117647,0.0535882352941,0.278352941176,0.166941176471,0.370823529412,0.206588235294,0.262529411765,0.310764705882,29
k__Bacteria;p__Cyanobacteria,0.00182352941176,0.00164705882353,0.00170588235294,0.000176470588235,0.000352941176471,0.000529411764706,0.000941176470588,0.000117647058824,0.00282352941176,0.000470588235294,0.000176470588235,0.00223529411765,0.0,0.00123529411765,0.000235294117647,0.000941176470588,0.000411764705882,0.000470588235294,0.000470588235294,0.000588235294118,5.88235294118e-05,0.000647058823529,0.000529411764706,0.000176470588235,0.000176470588235,0.000411764705882,0.000411764705882,0.000235294117647,0.000882352941176,28
k__Bacteria;p__Deferribacteres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
k__Bacteria;p__Firmicutes,0.516764705882,0.636176470588,0.681823529412,0.728823529412,0.475647058824,0.522470588235,0.686352941176,0.0619411764706,0.507411764706,0.539058823529,0.412294117647,0.489294117647,0.424176470588,0.489941176471,0.405882352941,0.583823529412,0.379117647059,0.368647058824,0.467529411765,0.588647058824,0.476058823529,0.603,0.233705882353,0.373411764706,0.376176470588,0.468588235294,0.675176470588,0.619352941176,0.545470588235,29
k__Bacteria;p__Lentisphaerae,5.88235294118e-05,0.000117647058824,0.0,5.88235294118e-05,0.0,0.0,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176470588235,0.000176470588235,0.000176470588235,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
k__Bacteria;p__OP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
k__Bacteria;p__Proteobacteria,0.00135294117647,0.00723529411765,0.00376470588235,0.00305882352941,0.00505882352941,0.00364705882353,0.00494117647059,0.00476470588235,0.00688235294118,0.00323529411765,0.00747058823529,0.0168235294118,0.00217647058824,0.00664705882353,0.00294117647059,0.00211764705882,0.00347058823529,0.00376470588235,0.00123529411765,0.00294117647059,0.00376470588235,0.00929411764706,0.000941176470588,0.00111764705882,0.00535294117647,0.00935294117647,0.00617647058824,0.00135294117647,0.00194117647059,29
k__Bacteria;p__Synergistetes,0.0,0.0,0.0,0.0,5.88235294118e-05,0.000235294117647,0.000352941176471,0.000117647058824,0.000117647058824,0.0159411764706,0.000117647058824,0.0,0.00458823529412,0.000235294117647,0.000411764705882,0.000176470588235,0.000117647058824,0.000117647058824,0.000294117647059,5.88235294118e-05,0.000117647058824,5.88235294118e-05,0.0,5.88235294118e-05,5.88235294118e-05,0.000117647058824,0.0,0.000705882352941,0.000117647058824,22
k__Bacteria;p__TM7,0.000588235294118,0.0,0.000176470588235,0.000176470588235,0.000235294117647,0.000176470588235,0.000764705882353,5.88235294118e-05,0.00211764705882,0.00535294117647,0.00188235294118,0.00129411764706,0.00235294117647,0.000411764705882,0.000705882352941,0.000352941176471,0.000823529411765,0.000235294117647,0.000588235294118,0.000529411764706,0.00105882352941,0.000823529411765,0.00129411764706,0.00305882352941,0.00182352941176,0.000352941176471,0.0,0.000117647058824,0.000117647058824,27
k__Bacteria;p__Tenericutes,0.0212352941176,0.0718823529412,0.0603529411765,0.0411764705882,0.0367647058824,0.0248235294118,0.0267058823529,0.00129411764706,0.0301176470588,0.00952941176471,0.0163529411765,0.0142941176471,0.00623529411765,0.00858823529412,0.0116470588235,0.0573529411765,0.0494705882353,0.114823529412,0.0203529411765,0.0156470588235,0.0331764705882,0.0301176470588,0.00811764705882,0.0118823529412,0.0402352941176,0.0207647058824,0.0353529411765,0.0324705882353,0.0485294117647,29
k__Bacteria;p__Verrucomicrobia,0.0312352941176,0.0295882352941,0.0237647058824,0.0245882352941,0.0111176470588,0.0108235294118,0.00276470588235,0.000705882352941,0.0460588235294,0.00364705882353,0.00811764705882,0.0350588235294,0.0842941176471,0.0204705882353,0.00947058823529,0.0299411764706,0.0118235294118,0.0512352941176,0.00205882352941,0.0142941176471,0.0346470588235,0.0211764705882,0.00147058823529,0.0438235294118,0.00788235294118,0.0485294117647,0.00852941176471,0.00758823529412,0.00905882352941,29
Unassigned;Other;Other,0.101705882353,0.0713529411765,0.0818235294118,0.0614705882353,0.115117647059,0.0888823529412,0.110294117647,0.920823529412,0.127647058824,0.157882352941,0.208882352941,0.163411764706,0.0861764705882,0.108,0.110823529412,0.184176470588,0.0793529411765,0.0945294117647,0.107117647059,0.106058823529,0.110529411765,0.137470588235,0.694235294118,0.226647058824,0.399411764706,0.0802352941176,0.0592941176471,0.0725882352941,0.0828235294118,29
k__Bacteria;Other;Other,0.000117647058824,0.0,0.0,0.0,5.88235294118e-05,0.000117647058824,0.000117647058824,0.0,0.0,0.000117647058824,0.000117647058824,0.0,0.000470588235294,0.000176470588235,0.0,0.000529411764706,0.0,0.0,0.000176470588235,0.0,5.88235294118e-05,5.88235294118e-05,0.0,0.000176470588235,0.000235294117647,0.0,5.88235294118e-05,5.88235294118e-05,0.0,16
k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.00664705882353,0.0,0.000235294117647,0.00217647058824,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0121176470588,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00594117647059,0.0603529411765,0.000176470588235,0.000235294117647,0.00829411764706,0.00264705882353,0.0,12
k__Bacteria;p__Actinobacteria;c__Coriobacteriia,0.00117647058824,0.000117647058824,0.000529411764706,0.000470588235294,0.000529411764706,0.000529411764706,0.00282352941176,0.000235294117647,0.00176470588235,0.00311764705882,0.00288235294118,0.000294117647059,0.00494117647059,0.00252941176471,0.00217647058824,0.00576470588235,0.00141176470588,0.00170588235294,0.00164705882353,0.00211764705882,0.00152941176471,0.00205882352941,0.000176470588235,0.000941176470588,0.00152941176471,0.000588235294118,0.000117647058824,0.000352941176471,0.000294117647059,29
k__Bacteria;p__Bacteroidetes;c__Bacteroidia,0.317294117647,0.181882352941,0.145823529412,0.137823529412,0.355,0.347764705882,0.163823529412,0.00970588235294,0.275058823529,0.261647058824,0.341705882353,0.265176470588,0.384529411765,0.361705882353,0.455705882353,0.134647058824,0.473823529412,0.364294117647,0.398470588235,0.269117647059,0.339,0.195294117647,0.0535882352941,0.278352941176,0.166941176471,0.370823529412,0.206588235294,0.262529411765,0.310764705882,29
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294118e-05,0.000117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
k__Bacteria;p__Cyanobacteria;c__4C0d-2,0.00182352941176,0.00164705882353,0.00170588235294,0.000176470588235,0.000352941176471,0.000529411764706,0.000941176470588,0.000117647058824,0.00282352941176,0.000470588235294,0.000176470588235,0.00223529411765,0.0,0.00123529411765,0.000235294117647,0.000941176470588,0.000411764705882,0.000470588235294,0.000470588235294,0.000588235294118,5.88235294118e-05,0.000647058823529,0.000529411764706,0.000176470588235,0.000176470588235,0.000411764705882,0.000411764705882,0.000235294117647,0.000882352941176,28
k__Bacteria;p__Deferribacteres;c__Deferribacteres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
k__Bacteria;p__Firmicutes;c__Bacilli,5.88235294118e-05,0.0,0.0,0.0,5.88235294118e-05,0.0,0.0,0.000352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294118e-05,0.0,0.0,5.88235294118e-05,0.0,5.88235294118e-05,0.0,0.0,0.0,0.0,6
k__Bacteria;p__Firmicutes;c__Clostridia,0.516647058824,0.635882352941,0.681647058824,0.728823529412,0.475588235294,0.522470588235,0.686352941176,0.0615882352941,0.507058823529,0.538235294118,0.412235294118,0.489058823529,0.423529411765,0.489705882353,0.405823529412,0.583823529412,0.378823529412,0.368647058824,0.467294117647,0.588470588235,0.475588235294,0.602764705882,0.233647058824,0.373411764706,0.375705882353,0.468588235294,0.675117647059,0.619352941176,0.545470588235,29
k__Bacteria;p__Firmicutes;c__Erysipelotrichi,5.88235294118e-05,0.000294117647059,0.000176470588235,0.0,0.0,0.0,0.0,0.0,0.000352941176471,0.000823529411765,5.88235294118e-05,0.000235294117647,0.000647058823529,0.000235294117647,5.88235294118e-05,0.0,0.000294117647059,0.0,0.000235294117647,0.000117647058824,0.000470588235294,0.000235294117647,0.0,0.0,0.000411764705882,0.0,5.88235294118e-05,0.0,0.0,17
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria],5.88235294118e-05,0.000117647058824,0.0,5.88235294118e-05,0.0,0.0,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176470588235,0.000176470588235,0.000176470588235,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
k__Bacteria;p__OP11;c__OP11-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.000529411764706,0.00623529411765,0.00329411764706,0.00252941176471,0.00405882352941,0.00282352941176,0.00347058823529,5.88235294118e-05,0.00352941176471,0.000941176470588,0.00147058823529,0.00605882352941,0.000411764705882,0.00247058823529,0.00117647058824,0.000117647058824,0.00205882352941,0.000352941176471,0.000176470588235,0.000588235294118,0.00188235294118,0.001,5.88235294118e-05,5.88235294118e-05,0.00417647058824,0.00158823529412,0.00429411764706,0.000117647058824,0.000764705882353,29
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,5.88235294118e-05,5.88235294118e-05,0.0,5.88235294118e-05,0.000117647058824,0.0,0.000176470588235,0.000294117647059,0.0,0.000352941176471,0.0,0.0,0.000470588235294,0.000117647058824,0.000117647058824,5.88235294118e-05,0.0,0.0,0.0,0.000117647058824,0.000117647058824,0.000117647058824,0.0,0.0,5.88235294118e-05,0.000176470588235,0.0,0.0,5.88235294118e-05,17
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.000352941176471,0.0,0.000117647058824,0.000294117647059,0.000882352941176,0.000470588235294,0.0,0.0,0.00223529411765,0.000411764705882,0.000235294117647,0.0101176470588,0.000529411764706,0.00164705882353,0.000294117647059,0.001,0.0,0.00182352941176,5.88235294118e-05,0.000294117647059,0.000411764705882,0.000647058823529,0.000647058823529,0.000529411764706,0.000411764705882,0.00688235294118,0.00170588235294,0.000294117647059,0.000176470588235,25
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,0.000411764705882,0.000941176470588,0.000294117647059,0.000176470588235,0.0,0.000352941176471,0.000352941176471,0.000235294117647,0.00105882352941,0.00152941176471,0.00570588235294,0.000647058823529,0.000705882352941,0.00235294117647,0.00123529411765,0.000882352941176,0.00135294117647,0.00152941176471,0.000941176470588,0.00176470588235,0.00135294117647,0.00747058823529,0.000176470588235,0.000411764705882,0.000647058823529,0.000647058823529,0.000176470588235,0.000941176470588,0.000941176470588,28
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,0.0,0.0,5.88235294118e-05,0.0,0.0,0.0,0.000941176470588,0.00417647058824,5.88235294118e-05,0.0,5.88235294118e-05,0.0,5.88235294118e-05,5.88235294118e-05,0.000117647058824,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,5.88235294118e-05,0.000176470588235,0.0,5.88235294118e-05,5.88235294118e-05,0.000117647058824,5.88235294118e-05,5.88235294118e-05,0.0,0.0,0.0,18
k__Bacteria;p__Synergistetes;c__Synergistia,0.0,0.0,0.0,0.0,5.88235294118e-05,0.000235294117647,0.000352941176471,0.000117647058824,0.000117647058824,0.0159411764706,0.000117647058824,0.0,0.00458823529412,0.000235294117647,0.000411764705882,0.000176470588235,0.000117647058824,0.000117647058824,0.000294117647059,5.88235294118e-05,0.000117647058824,5.88235294118e-05,0.0,5.88235294118e-05,5.88235294118e-05,0.000117647058824,0.0,0.000705882352941,0.000117647058824,22
k__Bacteria;p__TM7;c__TM7-3,0.000588235294118,0.0,0.000176470588235,0.000176470588235,0.000235294117647,0.000176470588235,0.000764705882353,5.88235294118e-05,0.00211764705882,0.00535294117647,0.00188235294118,0.00129411764706,0.00235294117647,0.000411764705882,0.000705882352941,0.000352941176471,0.000823529411765,0.000235294117647,0.000588235294118,0.000529411764706,0.00105882352941,0.000823529411765,0.00129411764706,0.00305882352941,0.00182352941176,0.000352941176471,0.0,0.000117647058824,0.000117647058824,27
k__Bacteria;p__Tenericutes;c__Mollicutes,0.0198235294118,0.0524117647059,0.0482941176471,0.0392352941176,0.0303529411765,0.0195882352941,0.0212352941176,0.000764705882353,0.0191176470588,0.00752941176471,0.0121764705882,0.0113529411765,0.00105882352941,0.00752941176471,0.00458823529412,0.0107058823529,0.0346470588235,0.0381764705882,0.00252941176471,0.00829411764706,0.0177647058824,0.027,0.00776470588235,0.0111176470588,0.0381764705882,0.0188235294118,0.0287647058824,0.0155294117647,0.0215294117647,29
